n,k,output,accuracy,f1score
33,2,explosive,0.9923076923076923,0.9885057471264368
33,3,oxidizer,0.9692307692307692,0.9487179487179487
33,3,compressed_gas,0.9538461538461539,0.9333333333333333
33,3,explosive,0.9615384615384616,0.945054945054945
34,1,oxidizer,0.9230769230769231,0.8837209302325582
34,1,compressed_gas,0.9230769230769231,0.8913043478260869
34,1,explosive,0.9692307692307692,0.95
34,2,oxidizer,0.9538461538461539,0.9230769230769231
34,2,compressed_gas,0.9153846153846154,0.8764044943820225
34,2,explosive,0.9769230769230769,0.9662921348314607
34,3,oxidizer,0.9384615384615385,0.9111111111111111
34,3,compressed_gas,0.9153846153846154,0.8735632183908046
34,3,explosive,0.9615384615384616,0.9397590361445783
35,1,oxidizer,0.9692307692307692,0.9487179487179487
35,1,compressed_gas,0.9461538461538461,0.9306930693069307
35,1,explosive,0.9692307692307692,0.9487179487179487
35,2,oxidizer,0.9076923076923077,0.8695652173913043
35,2,compressed_gas,0.9153846153846154,0.8764044943820225
35,2,explosive,0.9538461538461539,0.9230769230769231
35,3,oxidizer,0.9461538461538461,0.9176470588235294
35,3,compressed_gas,0.9153846153846154,0.8571428571428571
35,3,explosive,0.9692307692307692,0.9574468085106383
36,1,oxidizer,0.9538461538461539,0.9285714285714286
36,1,compressed_gas,0.9461538461538461,0.9135802469135802
36,1,explosive,0.9615384615384616,0.945054945054945
36,2,oxidizer,0.9384615384615385,0.8947368421052632
36,2,compressed_gas,0.8923076923076924,0.8653846153846154
36,2,explosive,0.9384615384615385,0.8974358974358975
36,3,oxidizer,0.9538461538461539,0.9361702127659575
36,3,compressed_gas,0.9846153846153847,0.975609756097561
36,3,explosive,0.9846153846153847,0.9761904761904762
37,1,oxidizer,0.9538461538461539,0.9230769230769231
37,1,compressed_gas,0.9230769230769231,0.8936170212765957
37,1,explosive,0.9846153846153847,0.9767441860465116
37,2,oxidizer,0.9307692307692308,0.8767123287671232
37,2,compressed_gas,0.9153846153846154,0.8735632183908046
37,2,explosive,0.9538461538461539,0.9375
37,3,oxidizer,0.9384615384615385,0.9215686274509803
37,3,compressed_gas,0.9076923076923077,0.8571428571428571
37,3,explosive,0.9923076923076923,0.9859154929577465
38,1,oxidizer,0.9307692307692308,0.9010989010989011
38,1,compressed_gas,0.9230769230769231,0.8863636363636364
38,1,explosive,0.9769230769230769,0.96
38,2,oxidizer,0.9538461538461539,0.9166666666666666
38,2,compressed_gas,0.9230769230769231,0.8979591836734694
38,2,explosive,0.9538461538461539,0.9347826086956522
38,3,oxidizer,0.9307692307692308,0.896551724137931
38,3,compressed_gas,0.9384615384615385,0.9024390243902439
38,3,explosive,0.9615384615384616,0.945054945054945
39,1,oxidizer,0.9692307692307692,0.9459459459459459
39,1,compressed_gas,0.9461538461538461,0.9195402298850575
39,1,explosive,0.9692307692307692,0.9591836734693877
39,2,oxidizer,0.9615384615384616,0.9473684210526315
39,2,compressed_gas,0.9461538461538461,0.9213483146067416
39,2,explosive,0.9769230769230769,0.9565217391304348
39,3,oxidizer,0.9538461538461539,0.926829268292683
39,3,compressed_gas,0.9461538461538461,0.9213483146067416
39,3,explosive,0.9615384615384616,0.9411764705882353
40,1,oxidizer,0.9538461538461539,0.9117647058823529
40,1,compressed_gas,0.9307692307692308,0.9010989010989011
40,1,explosive,0.9846153846153847,0.9795918367346939
40,2,oxidizer,0.9538461538461539,0.94
40,2,compressed_gas,0.9461538461538461,0.9135802469135802
40,2,explosive,0.9846153846153847,0.9743589743589743
40,3,oxidizer,0.9615384615384616,0.9425287356321839
40,3,compressed_gas,0.9384615384615385,0.9111111111111111
40,3,explosive,0.9769230769230769,0.9620253164556962
41,1,oxidizer,0.9461538461538461,0.9135802469135802
41,1,compressed_gas,0.9230769230769231,0.8888888888888888
41,1,explosive,0.9538461538461539,0.9285714285714286
41,2,oxidizer,0.9384615384615385,0.9
41,2,compressed_gas,0.9307692307692308,0.9052631578947369
41,2,explosive,0.9846153846153847,0.9761904761904762
41,3,oxidizer,0.9615384615384616,0.9438202247191011
41,3,compressed_gas,0.9538461538461539,0.925
41,3,explosive,0.9692307692307692,0.9545454545454546
42,1,oxidizer,0.9615384615384616,0.9382716049382716
42,1,compressed_gas,0.9615384615384616,0.9438202247191011
42,1,explosive,0.9923076923076923,0.9885057471264368
42,2,oxidizer,0.9384615384615385,0.9111111111111111
42,2,compressed_gas,0.9153846153846154,0.8533333333333334
42,2,explosive,0.9384615384615385,0.9130434782608695
42,3,oxidizer,0.9384615384615385,0.9024390243902439
42,3,compressed_gas,0.9307692307692308,0.9108910891089109
42,3,explosive,0.9538461538461539,0.9166666666666666
43,1,oxidizer,0.9461538461538461,0.9113924050632911
43,1,compressed_gas,0.9538461538461539,0.9333333333333333
43,1,explosive,0.9923076923076923,0.9885057471264368
43,2,oxidizer,0.9384615384615385,0.9148936170212766
43,2,compressed_gas,0.9230769230769231,0.875
43,2,explosive,0.9461538461538461,0.9156626506024096
43,3,oxidizer,0.9307692307692308,0.891566265060241
43,3,compressed_gas,0.9153846153846154,0.8791208791208791
43,3,explosive,0.9461538461538461,0.9176470588235294
44,1,oxidizer,0.9384615384615385,0.9111111111111111
44,1,compressed_gas,0.9230769230769231,0.8780487804878049
44,1,explosive,0.9769230769230769,0.9655172413793104
44,2,oxidizer,0.9615384615384616,0.9382716049382716
44,2,compressed_gas,0.9461538461538461,0.9176470588235294
44,2,explosive,0.9230769230769231,0.8863636363636364
44,3,oxidizer,0.9615384615384616,0.9411764705882353
44,3,compressed_gas,0.9384615384615385,0.9148936170212766
44,3,explosive,0.9692307692307692,0.9473684210526315
45,1,oxidizer,0.9384615384615385,0.9
45,1,compressed_gas,0.9230769230769231,0.8913043478260869
45,1,explosive,0.9769230769230769,0.9655172413793104
45,2,oxidizer,0.9692307692307692,0.9545454545454546
45,2,compressed_gas,0.9461538461538461,0.9263157894736842
45,2,explosive,0.9923076923076923,0.9866666666666667
45,3,oxidizer,0.9538461538461539,0.9302325581395349
45,3,compressed_gas,0.9153846153846154,0.8641975308641975
45,3,explosive,0.9307692307692308,0.898876404494382
46,1,oxidizer,0.9538461538461539,0.9347826086956522
46,1,compressed_gas,0.9307692307692308,0.9142857142857143
46,1,explosive,0.9769230769230769,0.9565217391304348
46,2,oxidizer,0.9846153846153847,0.975
46,2,compressed_gas,0.9846153846153847,0.975609756097561
46,2,explosive,0.9692307692307692,0.9583333333333334
46,3,oxidizer,0.9692307692307692,0.9534883720930233
46,3,compressed_gas,0.9615384615384616,0.9382716049382716
46,3,explosive,0.9615384615384616,0.9425287356321839
47,1,oxidizer,0.9076923076923077,0.85
47,1,compressed_gas,0.9076923076923077,0.8636363636363636
47,1,explosive,0.9615384615384616,0.9425287356321839
