n,k,output,accuracy,f1score
28,2,environmental_hazard,0.9975625761694947,0.993890977443609
28,2,acute_toxic,1.0,1.0
28,2,health_hazard,1.0,1.0
28,2,flammable,0.9970000937470704,0.9923408329344183
28,3,corrosive,0.9970935683480218,0.9924519113708303
28,3,environmental_hazard,0.9992499531220701,0.9981710105166895
28,3,acute_toxic,1.0,1.0
28,3,health_hazard,1.0,1.0
28,3,flammable,0.998781173823364,0.9970066774119273
29,1,corrosive,0.9969063466766663,0.9923664122137404
29,1,environmental_hazard,0.9987812880847473,0.996927440321437
29,1,acute_toxic,1.0,1.0
29,1,health_hazard,1.0,1.0
29,1,flammable,0.9966251054654542,0.9914122137404581
29,2,corrosive,0.9958751289022219,0.989351403678606
29,2,environmental_hazard,0.9988750351551514,0.9972170686456401
29,2,acute_toxic,1.0,1.0
29,2,health_hazard,1.0,1.0
29,2,flammable,0.9961563701134339,0.9904406621590114
29,3,corrosive,0.9976561035064692,0.9941134918766188
29,3,environmental_hazard,0.9986874179636227,0.9966856060606061
29,3,acute_toxic,1.0,1.0
29,3,health_hazard,1.0,1.0
29,3,flammable,0.9986874179636227,0.9967043314500942
30,1,corrosive,0.9952188994093935,0.9881367759944173
30,1,environmental_hazard,0.9988750351551514,0.9971896955503513
30,1,acute_toxic,1.0,1.0
30,1,health_hazard,1.0,1.0
30,1,flammable,0.9972813349582825,0.9930572180991142
30,2,corrosive,0.996343864254242,0.9908515130190007
30,2,environmental_hazard,0.9989687822255554,0.9973815758152821
30,2,acute_toxic,1.0,1.0
30,2,health_hazard,1.0,1.0
30,2,flammable,0.9964376113246461,0.9909824394874229
30,3,corrosive,0.996812300768798,0.9917515769044153
30,3,environmental_hazard,0.998031126945434,0.9951014695591323
30,3,acute_toxic,1.0,1.0
30,3,health_hazard,1.0,1.0
30,3,flammable,0.9974685917869867,0.9937629937629938
31,1,corrosive,0.9959688759726258,0.9897202964379632
31,1,environmental_hazard,0.9995312646479797,0.9988092402953084
31,1,acute_toxic,1.0,1.0
31,1,health_hazard,1.0,1.0
31,1,flammable,0.9968125996062623,0.9922338967565099
31,2,corrosive,0.9975625761694947,0.9939534883720931
31,2,environmental_hazard,0.9993437705071716,0.9983867250518552
31,2,acute_toxic,1.0,1.0
31,2,health_hazard,1.0,1.0
31,2,flammable,0.9975625761694947,0.993643031784841
31,3,corrosive,0.9958747421713857,0.9895486935866984
31,3,environmental_hazard,0.9984999062441403,0.996222851746931
31,3,acute_toxic,1.0,1.0
31,3,health_hazard,1.0,1.0
31,3,flammable,0.9972810800675043,0.9931940858953298
32,1,corrosive,0.9958751289022219,0.9894128970163619
32,1,environmental_hazard,0.9986875410143433,0.9967816091954023
32,1,acute_toxic,1.0,1.0
32,1,health_hazard,1.0,1.0
32,1,flammable,0.9979375644511109,0.9946419873356064
32,2,corrosive,0.9967188525358582,0.9917821084761681
32,2,environmental_hazard,0.9992500234367676,0.9980676328502416
32,2,acute_toxic,1.0,1.0
32,2,health_hazard,1.0,1.0
32,2,flammable,0.9977500703103028,0.9944852941176471
32,3,corrosive,0.9960622538908682,0.9901593252108716
32,3,environmental_hazard,0.9983123945246578,0.9957924263674615
32,3,acute_toxic,1.0,1.0
32,3,health_hazard,1.0,1.0
32,3,flammable,0.996812300768798,0.9920411985018727
33,1,corrosive,0.9967188525358582,0.9917433356923803
33,1,environmental_hazard,0.9985937939439392,0.9964697575900212
33,1,acute_toxic,1.0,1.0
33,1,health_hazard,1.0,1.0
33,1,flammable,0.9972813349582825,0.9931748646740409
33,2,corrosive,0.9964376113246461,0.9909523809523809
33,2,environmental_hazard,0.9996250117183838,0.9990601503759399
33,2,acute_toxic,1.0,1.0
33,2,health_hazard,1.0,1.0
33,2,flammable,0.9977500703103028,0.994475138121547
33,3,corrosive,0.9960622538908682,0.9901408450704225
33,3,environmental_hazard,0.9995312207012939,0.998829861923707
33,3,acute_toxic,1.0,1.0
33,3,health_hazard,1.0,1.0
33,3,flammable,0.9976561035064692,0.9939569736524051
34,1,corrosive,0.9958751289022219,0.9894837476099426
34,1,environmental_hazard,0.9992500234367676,0.9981541301338256
34,1,acute_toxic,1.0,1.0
34,1,health_hazard,1.0,1.0
34,1,flammable,0.9980313115215149,0.9950553331763597
34,2,corrosive,0.9961563701134339,0.9902124612079255
34,2,environmental_hazard,0.9994375175775757,0.9985855728429985
34,2,acute_toxic,1.0,1.0
34,2,health_hazard,1.0,1.0
34,2,flammable,0.9969063466766663,0.9923237962316818
34,3,corrosive,0.9979373710856928,0.9949121184088807
34,3,environmental_hazard,0.998031126945434,0.994991652754591
34,3,acute_toxic,1.0,1.0
34,3,health_hazard,1.0,1.0
34,3,flammable,0.9966247890493156,0.9914204003813155
35,1,corrosive,0.9967188525358582,0.9917936694021102
35,1,environmental_hazard,0.9988750351551514,0.9971509971509972
35,1,acute_toxic,1.0,1.0
35,1,health_hazard,1.0,1.0
35,1,flammable,0.9964376113246461,0.9912523020257827
35,2,corrosive,0.9965313583950501,0.991365227537923
35,2,environmental_hazard,0.9992500234367676,0.9981282171268133
