k,n,output,accuracy,f1score
3,9,Flammable,0.9747540853561796,0.6384549843794377
3,9,Health Hazard,0.9565484689830239,0.5430656934306569
3,9,Irritant,0.7680271299381247,0.8411402805883391
3,9,Oxidizer,0.9985919403458671,0.297029702970297
3,9,nan,0.8336903062033952,0.4948192771084337
1,10,Acute Toxic,0.9599603371343579,0.6129959746981024
1,10,Compressed Gas,0.9992067426871591,0.5555555555555556
1,10,Corrosive,0.9620624690133862,0.8437984812607169
1,10,Environmental Hazard,0.9430639563708478,0.3974816369359916
1,10,Explosive,0.9989489340604859,0.03636363636363636
1,10,Flammable,0.9727714427367378,0.6195622055971183
1,10,Health Hazard,0.9563906792265742,0.5476239456901872
1,10,Irritant,0.7679920674268715,0.8416121738894982
1,10,Oxidizer,0.9986514625681705,0.2916666666666667
1,10,nan,0.8347050074367873,0.496405051054317
2,10,Acute Toxic,0.9592455973346026,0.6072998280145232
2,10,Compressed Gas,0.9989687450420435,0.5272727272727272
2,10,Corrosive,0.9617245755989211,0.8478637868516475
2,10,Environmental Hazard,0.944153577661431,0.3967437874892888
2,10,Explosive,0.9991868951293035,0.1276595744680851
2,10,Flammable,0.9731278756147866,0.6147284617571794
2,10,Health Hazard,0.9570640964620022,0.5568065506653019
2,10,Irritant,0.7663414247183881,0.8399923948176115
2,10,Oxidizer,0.9986514358242107,0.20930232558139536
2,10,nan,0.8347810566396954,0.4999099585809472
3,10,Acute Toxic,0.9590274472473426,0.6017733230531996
3,10,Compressed Gas,0.9991868951293035,0.5858585858585859
3,10,Corrosive,0.9614469300333175,0.8409946016685752
3,10,Environmental Hazard,0.9435586228779946,0.39652247667514845
3,10,Explosive,0.9993058860859908,0.10256410256410256
3,10,Flammable,0.974734253530065,0.6390934844192635
3,10,Health Hazard,0.9565683008091385,0.5517805976258698
3,10,Irritant,0.7654886561954625,0.8395021512819468
3,10,Oxidizer,0.9986316039980961,0.31683168316831684
3,10,nan,0.8353165159447882,0.4974582425562818
1,11,Acute Toxic,0.9580961824491819,0.5851168270174749
1,11,Compressed Gas,0.999067922657412,0.5436893203883495
1,11,Corrosive,0.9603966286564204,0.8395597332690609
1,11,Environmental Hazard,0.9444918195339613,0.39896929353661154
1,11,Explosive,0.9990480912245909,0.04
1,11,Flammable,0.972989588497769,0.6229235880398671
1,11,Health Hazard,0.9563113534952901,0.5460539872243972
1,11,Irritant,0.7669410014873574,0.8406119459664732
1,11,Oxidizer,0.9987307882994546,0.28888888888888886
1,11,nan,0.8350024789291026,0.49819059107358266
2,11,Acute Toxic,0.9602966841186736,0.614406779661017
2,11,Compressed Gas,0.9990480723465016,0.5471698113207547
2,11,Corrosive,0.9616055846422339,0.8429591174561972
2,11,Environmental Hazard,0.9438561002697128,0.39932102694674304
2,11,Explosive,0.9991670633031889,0.0
2,11,Flammable,0.9738616531810249,0.6318435754189944
2,11,Health Hazard,0.9555172140250674,0.5402746464439434
2,11,Irritant,0.7678883071553229,0.8412198827870632
2,11,Oxidizer,0.9984927812152943,0.32142857142857145
2,11,nan,0.8359709662065683,0.5002718868950516
3,11,Acute Toxic,0.9588291289861971,0.6068181818181818
3,11,Compressed Gas,0.999206726955418,0.5652173913043478
3,11,Corrosive,0.9621212121212122,0.8463147730930157
3,11,Environmental Hazard,0.9433603046168492,0.39208173690932313
3,11,Explosive,0.9991472314770744,0.0
3,11,Flammable,0.9731873710931302,0.6195835678109173
3,11,Health Hazard,0.9572624147231477,0.5592145633053794
3,11,Irritant,0.7690980485483103,0.8421395159650193
3,11,Oxidizer,0.9988100904331271,0.3023255813953488
3,11,nan,0.8362089481199428,0.5039341702204336
1,12,Acute Toxic,0.9604759543877045,0.6091390468719357
1,12,Compressed Gas,0.999127416955875,0.5217391304347826
1,12,Corrosive,0.9610510659395142,0.8406361570918532
1,12,Environmental Hazard,0.9437580565195836,0.39966130397967825
1,12,Explosive,0.9992662369856222,0.0975609756097561
1,12,Flammable,0.9741199801685672,0.6318758815232722
1,12,Health Hazard,0.9563708477937531,0.5510204081632653
1,12,Irritant,0.7673177987109568,0.8405300713557594
1,12,Oxidizer,0.9986712940009915,0.27956989247311825
1,12,nan,0.8331779871095687,0.49676956209619527
2,12,Acute Toxic,0.9582936696811042,0.5976659651807921
2,12,Compressed Gas,0.9991472314770744,0.5742574257425742
2,12,Corrosive,0.9616254164683484,0.8416400687453965
2,12,Environmental Hazard,0.9432809773123909,0.3888888888888889
2,12,Explosive,0.9990084086942725,0.10714285714285714
2,12,Flammable,0.9731278756147866,0.6278494918978302
2,12,Health Hazard,0.9563501507218785,0.5434557145820369
2,12,Irritant,0.7679279708075519,0.8411521963403378
2,12,Oxidizer,0.998770426780898,0.27906976744186046
2,12,nan,0.8348207202919244,0.49688915735427364
3,12,Acute Toxic,0.9574210693320641,0.5849603711579354
3,12,Compressed Gas,0.9988100904331271,0.4230769230769231
3,12,Corrosive,0.9599595430747263,0.8402816232892968
3,12,Environmental Hazard,0.9438759320958274,0.3934847835405058
3,12,Explosive,0.999206726955418,0.16666666666666666
3,12,Flammable,0.9743376170077741,0.6397550111358574
3,12,Health Hazard,0.9564096462002221,0.5490356996306934
3,12,Irritant,0.769772330636205,0.8429157138411161
3,12,Oxidizer,0.9986117721719816,0.33962264150943394
3,12,nan,0.837438521339045,0.5011259205160976
1,13,Acute Toxic,0.9598016856717898,0.6041788713141965
1,13,Compressed Gas,0.999107585523054,0.5054945054945055
1,13,Corrosive,0.9610510659395142,0.8418170103092784
1,13,Environmental Hazard,0.9439960337134358,0.38394415357766143
1,13,Explosive,0.999107585523054,0.11764705882352941
1,13,Flammable,0.9736836886465047,0.6263024500140806
